ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
375,東洋水産,カップ,ホットヌードル　NEO　担担麺,あり,76,60,339,9.5,14.7,42.1,2.1,2.8,1.33,0.31,144
376,東洋水産,カップ,いつもの一杯 ワンタン麺 中華そば,あり,97,60,394,9.9,20.3,42.8,1.3,3.9,0.56,0.28,116
377,東洋水産,カップ,いつもの一杯 ワンタン麺 鶏だし塩そば,あり,95,60,398,8.6,20.8,44.2,1.2,3.5,0.29,0.32,114
378,東洋水産,カップ,いつもの一杯 ワンタン麺 旨辛麺,あり,79,60,371,8.8,17.8,43.8,0.9,3.1,0.23,0.23,119
379,東洋水産,カップ,昔ながらのソース焼そば,なし,116,90,506,8.4,21.1,70.5,5.5,,0.34,0.37,197
380,東洋水産,カップ,俺の塩　,なし,121,100,584,10.5,30.4,67.1,3.8,,0.64,0.42,206
381,東洋水産,カップ,やきそば弁当,なし,132,100,581,13.1,27.8,69.7,7.4,,0.5,0.51,224
382,東洋水産,カップ,やきそば弁当 ねぎ塩味,なし,115,90,557,12.9,31.7,55,5.5,,0.54,0.43,196
383,東洋水産,カップ,やきそば弁当 ガッツリにんにく醤油味,なし,118,90,539,13,28.1,58.5,6,,0.42,0.42,201
384,東洋水産,カップ,やきそば弁当　コク甘ソース,なし,119,90,486,9.4,18.3,71,5.7,,0.38,0.41,214
385,東洋水産,カップ,やきそば弁当 たらこ味バター風味,なし,111,90,519,9.3,22.8,69.1,5.4,,0.34,0.48,200
386,東洋水産,カップ,やきそば弁当 ちょい辛,なし,119,90,517,12.5,25.2,60.1,5.7,,0.53,0.46,202
387,東洋水産,カップ,大判やきそば弁当,なし,173,130,754,16.6,36,90.8,7.9,,0.63,0.68,277
388,東洋水産,カップ,でっかいやきそば弁当,なし,258,200,1155,26.6,56.2,135.7,10.5,,0.94,0.96,439
389,東洋水産,カップ,焼そばバゴォーン,なし,132,100,558,11.1,24.3,7.37,5.4,,0.5,0.52,185
390,東洋水産,カップ,焼そばバゴォーン 塩バター風味,なし,108,90,526,10.6,27.9,58.2,4.6,,0.76,0.39,216
391,東洋水産,カップ,焼そばバゴォーン　お好みソース味,なし,126,90,575,10.5,31.5,62.4,3.9,,0.41,0.51,189
392,東洋水産,カップ,焼そばバゴォーン ちょい辛,なし,117,90,487,9.9,21.3,63.9,4.7,,0.37,0.41,211
393,東洋水産,カップ,ハッピーターン味焼そば,なし,107,90,490,8.5,20.7,67.4,4.4,,0.37,0.37,182
394,東洋水産,カップ,亀田のカレーせん味焼そば,なし,108,90,520,8.2,25.6,64.2,4,,0.54,0.36,184
395,東洋水産,カップ,マルちゃん正麺 カップ 濃厚こくソース焼そば,なし,132,90,488,10.7,14.3,79.2,4.2,,0.57,0.44,185
396,東洋水産,カップ,マルちゃん正麺 カップ 汁なし担々麺,なし,133,90,526,10.6,19.7,76.5,4.4,,0.32,0.36,239
397,東洋水産,カップ,マルちゃん正麺 カップ まぜそば 魚介豚骨,なし,126,90,484,12.9,16,72,4.6,,0.3,0.37,290
398,東洋水産,カップ,珍々亭 濃厚油そば,なし,125,90,472,11.4,15.9,70.9,4.6,,0.4,0.65,175
399,東洋水産,カップ,富士宮やきそば,なし,165,120,712,16.7,32.8,87.4,5.7,,0.6,0.65,297
400,東洋水産,カップ,ごつ盛り　ソース焼そば,なし,171,130,784,13,39.2,94.9,5.6,,0.53,0.57,275
401,東洋水産,カップ,ごつ盛り　塩焼そば,なし,156,130,734,13.9,36.8,86.9,5.2,,0.5,0.71,273
402,東洋水産,カップ,焼そば名人　ソース焼そば,なし,118,90,494,9.3,20.3,68.4,3.9,,0.39,0.47,218
403,東洋水産,カップ,カップ　沖縄そば,あり,88,74,392,10.1,18.1,47.2,1.5,3.4,0.35,0.33,158
404,東洋水産,カップ,カップ　まめ沖縄そば,あり,39,33,184,4.5,9.2,20.7,0.6,1.7,0.15,0.15,66
405,東洋水産,カップ,縦型ビッグ 沖縄そば,あり,85,70,384,9.9,17.9,45.7,1.7,4.6,0.32,0.27,153
406,東洋水産,カップ,ミニまる　そうめん,あり,37,30,161,3,7.1,21.2,0.9,2.4,0.12,0.12,59
407,東洋水産,カップ,冷しスタミナ肉そぼろそば,なし,90,69,412,11.9,23.9,37.3,3.1,,0.37,0.4,135
408,東洋水産,カップ,うまいつゆ ラー油香るうま辛そば,あり,62,50,302,7.6,16.5,30.7,1,2.7,0.34,0.33,105
409,東洋水産,カップ,凪×海鳴 ニボい豚骨,あり,99,70,449,13.5,23.1,46.7,1.7,4.8,0.36,0.28,416
